Name,File,Age,Gender,Race,Language,Words,Seconds,WPS,Readability,F0mean,F0median,YT_WER,FB_WER,MS_WER,GM_WER,WX_WER,ZM_WER,BJ_WER
Aaron Huey,AaronHuey_2010X,35,M,White,US,2200,925,2.38,7.35,158.14,139.13,0.0392,0.06062,0.04695,0.05561,0.12489,0.067,0.06335
Abha Dawesar,AbhaDawesar_2013G,39,F,Asian,L2,1987,722,2.753,6.98,240.7,242.42,0.0151,0.03926,0.02365,0.0302,0.05989,0.0468,0.04076
Abigail Marsh,AbigailMarsh_2016T,40,F,White,US,2042,746,2.737,6.97,215.87,219.18,0.02941,0.04412,0.04167,0.04657,0.11373,0.0598,0.06667
Abraham Verghese,AbrahamVerghese_2011G,56,M,Asian,L2,3069,1109,2.767,6.94,164.57,140.35,0.03877,0.06289,0.04659,0.10036,0.09123,0.07103,0.07071
Achenyo Idachaba,AchenyoIdachaba_2015W,45,F,Black,L2,941,441,2.133,7.64,199.68,177.78,0.06057,0.0797,0.06589,0.10521,0.17535,0.12752,0.09139
Adam Davidson,AdamDavidson_2012S,42,M,White,US,3153,1185,2.66,7.09,157.59,144.14,0.03633,0.04589,0.03665,0.04398,0.06119,0.04238,0.03314
Adam Galinsky,AdamGalinsky_2016X,47,M,White,US,2386,913,2.614,6.27,199.09,192.77,0.05281,0.06832,0.06706,0.07879,0.10184,0.0746,0.07418
Adam Grant,AdamGrant_2016,35,M,White,US,2477,929,2.667,6.89,206.89,213.33,0.01982,0.03762,0.02832,0.03964,0.06837,0.04369,0.04814
Adam Savage,AdamSavage_2016,49,M,White,US,2327,792,2.939,6.62,171.82,153.85,0.04555,0.06059,0.06489,0.08982,0.09884,0.06747,0.0752
Adam Spencer,AdamSpencer_2013,44,M,White,Non-US,2647,1037,2.553,6.71,180.53,168.42,0.06233,0.08009,0.07216,0.06838,0.14583,0.09634,0.0952
Aditi Gupta,AditiGupta_2015X,,F,Asian,L2,1504,674,2.23,7.21,200.38,202.53,0.07129,0.0966,0.07795,0.08794,0.14524,0.09793,0.10193
Aditi Shankardass,AditiShankardass_2009I,,F,Asian,Non-US,977,434,2.251,8.02,195.26,202.53,0.00513,0.03897,0.02359,0.01949,0.04718,0.02256,0.02974
Adora Svitak,AdoraSvitak_2010,13,F,Asian,US,1254,490,2.561,7.43,233.01,242.42,0.03751,0.06065,0.06464,0.11652,0.09018,0.07103,0.07582
Ajit Narayanan,AjitNarayanan_2013,32,M,Asian,L2,2614,943,2.771,6.07,198.11,186.05,0.08148,0.13466,0.0899,0.1205,0.17062,0.11974,0.13504
Alaa Murabit,AlaaMurabit_2015W,26,F,White,Non-US,1598,737,2.168,7.52,215.49,210.53,0.01815,0.03317,0.02628,0.02816,0.05444,0.04881,0.03254
Alan Russell,AlanRussell_2006,50,M,White,US,3349,1166,2.873,6.54,138.09,120.3,0.0418,0.05345,0.03971,0.09734,0.08629,0.06181,0.05494
Alan Siegel,AlanSiegel_2010,72,M,White,US,637,263,2.421,7.35,126.44,112.68,0.08044,0.08991,0.08517,0.19874,0.12145,0.08675,0.08517
Alberto Cairo,AlbertoCairo_2011X,37,M,White,L2,2327,1139,2.043,5.81,166.55,160,0.11694,0.14101,0.13414,0.14144,0.22485,0.15348,0.15262
Alexa Meade,AlexaMeade_2013G,27,F,White,US,1107,424,2.611,6.53,211.55,207.79,0.01716,0.03433,0.03613,0.03252,0.06956,0.04426,0.04246
Alexander Betts,AlexanderBetts_2016,36,M,White,Non-US,2603,1094,2.38,7.58,176.48,160,0.01927,0.03661,0.02967,0.04509,0.11368,0.04933,0.05665
Alex Tabarrok,AlexTabarrok_2009,43,M,White,US,2064,873,2.363,6.56,157.68,150.94,0.07389,0.0807,0.06223,0.12105,0.10209,0.08508,0.06903
Alice Goffman,AliceGoffman_2015,33,F,White,US,2425,969,2.504,7.05,218.43,225.35,0.02106,0.03468,0.03799,0.03716,0.06813,0.04583,0.04542
Alice Rawsthorn,AliceRawsthorn_2016,58,F,White,Non-US,1618,708,2.284,8.97,202.56,195.12,0.03152,0.05377,0.03152,0.06675,0.12855,0.06366,0.05933
Alison Killing,AlisonKilling_2014U,,F,White,Non-US,836,284,2.945,7.4,213.39,219.18,0.01557,0.04192,0.02754,0.0503,0.07545,0.0479,0.0479
Allan Jones,AllanJones_2011G,,M,White,US,2663,918,2.9,6.77,170.09,131.15,0.05041,0.07938,0.05756,0.08277,0.09105,0.05869,0.14146
Al Seckel,AlSeckel_2004,46,M,White,US,1688,873,1.934,6.4,157.04,139.13,0.07291,0.08358,0.07113,0.09129,0.11678,0.08951,0.09662
Alwar Balasubramaniam,AlwarBalasubramaniam_2009I,38,M,Asian,L2,2701,1008,2.68,5.99,164.97,160,0.11959,0.1492,0.13254,0.15439,0.23991,0.17956,0.21585
Alyssa Monks,AlyssaMonks_2015X,38,F,White,US,1853,793,2.337,6.24,187.58,179.78,0.01457,0.02159,0.02428,0.01943,0.05181,0.03076,0.04317
Amanda Bennett,AmandaBennett_2013P,61,F,White,US,1945,925,2.104,6.59,214.21,205.13,0.03188,0.05193,0.0581,0.08329,0.11928,0.08329,0.06787
Amanda Burden,AmandaBurden_2014,70,F,White,US,2654,1108,2.395,6.65,185.88,177.78,0.02413,0.05166,0.04449,0.04789,0.07164,0.05166,0.04827
Amanda Palmer,AmandaPalmer_2013,37,F,White,Non-US,1932,824,2.344,6.71,181.71,164.95,0.03314,0.05179,0.04557,0.05127,0.08389,0.06007,0.06214
Ameenah Gurib Fakim,AmeenahGuribFakim_2014G,55,F,Asian,L2,2018,856,2.357,7.53,203.79,205.13,0.08454,0.11885,0.09498,0.11089,0.18846,0.13625,0.12084
Ami Klin,AmiKlin_2011X,,M,White,US,2869,1182,2.428,6.7,162.66,142.86,0.06032,0.07357,0.08717,0.09554,0.15795,0.10704,0.11402
Amory Lovins,AmoryLovins_2012S,65,M,White,US,3754,1621,2.316,7.76,135.37,113.48,0.03581,0.06387,0.05532,0.05291,0.09621,0.06921,0.05505
Amy Purdy,AmyPurdy_2011X,32,F,White,US,1218,589,2.068,7.02,220.97,231.88,0.02054,0.03122,0.03862,0.0378,0.09039,0.05752,0.05916
Amy Tan,AmyTan_2008,56,F,Asian,US,3719,1366,2.723,6.15,198.62,192.77,0.04141,0.05647,0.0484,0.07152,0.07663,0.05835,0.05512
Anand Giridharadas,AnandGiridharadas_2016T,,M,Asian,US,1768,1049,1.685,7.39,153.56,131.15,0.02206,0.03507,0.02885,0.02771,0.069,0.04072,0.03846
Anant Agarwal,AnantAgarwal_2013G,54,M,Asian,L2,2380,919,2.589,6.74,183.89,164.95,0.06692,0.10269,0.07955,0.10059,0.14689,0.10859,0.12163
Andras Forgacs,AndrasForgacs_2013G,28,M,White,US,1119,542,2.063,7.5,193.62,163.27,0.01251,0.03217,0.01698,0.02592,0.05898,0.04826,0.03396
Andrea Ghez,AndreaGhez_2009G,44,F,White,US,3248,983,3.305,5.95,234.21,231.88,0.04618,0.06004,0.04711,0.07666,0.08744,0.06065,0.05326
Andreas Schleicher,AndreasSchleicher_2012G,48,M,White,L2,2959,1184,2.499,6.81,161.49,148.15,0.04941,0.06531,0.06362,0.10964,0.15838,0.10761,0.08934
Andrew Blum,AndrewBlum_2012G,,M,White,US,2289,716,3.197,6.66,151.61,118.52,0.04675,0.07077,0.05723,0.07689,0.09436,0.08432,0.08912
Andrew Connolly,AndrewConnolly_2014,49,M,White,Non-US,2752,1064,2.587,7.2,168.93,155.34,0.02799,0.04835,0.0309,0.04253,0.09706,0.05234,0.05162
Andrew Fitzgerald,AndrewFitzgerald_2013S,,M,White,US,1809,716,2.527,7.37,149.21,119.4,0.05638,0.06578,0.05086,0.0984,0.08181,0.07297,0.05307
Andrew Solomon,AndrewSolomon_2014,51,M,White,US,2751,1228,2.241,7.16,156.5,148.15,0.01418,0.0309,0.02326,0.02908,0.09015,0.04471,0.03853
Andy Puddicombe,AndyPuddicombe_2012S,40,M,White,Non-US,1536,561,2.737,6.46,164.49,148.15,0.06063,0.07497,0.07953,0.08018,0.11147,0.08475,0.0867
Angela Belcher,AngelaBelcher_2011X,,F,White,US,1914,622,3.076,6.7,252.57,253.97,0.12251,0.14031,0.12618,0.19424,0.17382,0.1267,0.13089
Angela Duckworth,AngelaDuckworth_2013S,43,F,Asian,US,861,373,2.309,7.54,222.69,225.35,0.01045,0.02787,0.02439,0.01626,0.03833,0.0302,0.02323
Angela Patton,AngelaPatton_2012X,,F,Black,US,921,525,1.755,6.53,228.1,242.42,0.01737,0.02714,0.04017,0.05212,0.14115,0.09989,0.08903
Angelica Dass,AngelicaDass_2016,37,F,Black,L2,1188,691,1.719,7.58,203.76,200,0.08586,0.10017,0.10185,0.15404,0.23822,0.16582,0.14646
Angelo Vermeulen,AngeloVermeulen_2014U,43,M,White,L2,1120,428,2.617,7.5,162.37,125.98,0.06161,0.07589,0.06607,0.075,0.12768,0.10179,0.07679
Anna Deavere Smith,AnnaDeavereSmith_2005,55,F,Black,US,3648,1385,2.634,6.24,208.6,205.13,0.10115,0.10362,0.12061,0.14583,0.21436,0.16228,0.16091
Ann Cooper,AnnCooper_2007P,,F,White,US,3487,1174,2.969,6.06,276,285.71,0.04591,0.05746,0.05458,0.10107,0.09818,0.06642,0.07826
Anne Curzan,AnneCurzan_2014X,,F,White,US,2388,1034,2.31,6.79,224.94,225.35,0.01803,0.02935,0.02222,0.03019,0.04738,0.03187,0.03941
Anne Marie Slaughter,AnneMarieSlaughter_2013G,55,F,White,US,2041,1031,1.979,7.28,215.35,216.22,0.01715,0.04606,0.02891,0.02793,0.05145,0.04116,0.02891
Anne Milgram,AnneMilgram_2013S,43,F,White,US,2300,762,3.02,6.61,180.08,173.91,0.0131,0.03319,0.02576,0.01703,0.04716,0.03188,0.01747
Annie Lennox,AnnieLennox_2010G,56,F,White,Non-US,1357,553,2.454,7.04,199.78,200,0.04572,0.08407,0.05826,0.06416,0.12316,0.09735,0.0649
Ann Morgan,AnnMorgan_2015G,61,F,White,Non-US,1858,728,2.553,7.15,231.08,225.35,0.03448,0.04795,0.04688,0.0528,0.10453,0.06789,0.05981
Anthony Goldbloom,AnthonyGoldbloom_2016U,33,M,White,Non-US,723,281,2.577,7.91,150.69,124.03,0.05671,0.07192,0.07192,0.07331,0.1314,0.09682,0.07469
Antonio Damasio,AntonioDamasio_2011,67,M,White,L2,2918,1119,2.607,6.49,148.03,134.45,0.03667,0.05346,0.05517,0.23029,0.08225,0.06957,0.06066
Antony Gormley,AntonyGormley_2012G,62,M,White,Non-US,1858,953,1.95,6.81,164.69,120.3,0.04146,0.05008,0.06085,0.0657,0.13032,0.09424,0.08885
Aomawa Shields,AomawaShields_2015U,,F,Black,US,742,330,2.252,8.06,191.79,175.82,0.01484,0.04184,0.02834,0.03104,0.06478,0.04049,0.03374
Aparna Rao,AparnaRao_2013U,63,F,Asian,L2,1481,536,2.763,7.34,208.89,186.05,0.05807,0.10601,0.07765,0.10398,0.13774,0.10398,0.17218
Arianna Huffington,AriannaHuffington_2010W,50,F,White,L2,501,248,2.023,6.9,245.9,253.97,0.06188,0.08982,0.05589,0.07585,0.15569,0.11377,0.0998
Ari Wallach,AriWallach_2016X,42,M,White,US,2174,827,2.629,6.36,171.45,161.62,0.08468,0.11137,0.10446,0.10492,0.14542,0.12149,0.11781
Arthur Brooks,ArthurBrooks_2016,52,M,White,US,2179,859,2.538,6.45,183.93,166.67,0.0414,0.06118,0.05014,0.04968,0.07636,0.06072,0.06762
Arthur Potts Dawson,ArthurPottsDawson_2010G,39,M,White,Non-US,1614,526,3.069,6.62,138.61,111.89,0.10347,0.10843,0.1171,0.13321,0.20136,0.14436,0.14498
Arvind Gupta,ArvindGupta_2010P,,M,Asian,L2,2680,927,2.89,6.28,219.88,216.22,0.14851,0.19478,0.19291,0.25709,0.37015,0.26679,0.30261
Astro Teller,AstroTeller_2016,46,M,White,US,2117,937,2.26,6.86,153.04,134.45,0.02221,0.03072,0.03781,0.03166,0.06238,0.03686,0.04206
Atul Gawande,AtulGawande_2012,47,M,Asian,US,2592,1156,2.242,6.93,145.41,132.23,0.02666,0.04405,0.04019,0.03594,0.05873,0.04598,0.03168
Avi Reichental,AviReichental_2014,57,M,White,L2,1125,549,2.049,7.53,177.32,164.95,0.03203,0.03915,0.05694,0.07206,0.13879,0.10587,0.06406
Avi Rubin,AviRubin_2011X,44,M,White,US,3134,1013,3.093,6.96,180.78,172.04,0.03159,0.03797,0.03031,0.05488,0.05329,0.03159,0.03606
Ayah Bdeir,AyahBdeir_2012U,30,F,Asian,L2,776,324,2.396,7.13,206.96,200,0.07603,0.09149,0.09021,0.10438,0.14562,0.10825,0.10309
Aziz Abu Sarah,AzizAbuSarah_2014U,34,M,Asian,L2,704,282,2.498,7.51,173.64,161.62,0.04119,0.05682,0.05682,0.0554,0.09375,0.0767,0.06818
Aziza Chaouni,AzizaChaouni_2014U,,F,White,L2,850,343,2.479,7.96,263.76,253.97,0.03529,0.06941,0.06471,0.15059,0.12824,0.09412,0.06824
Baba Shiv,BabaShiv_2012X,,M,Asian,L2,1656,584,2.834,6.26,193.52,172.04,0.09783,0.12742,0.09843,0.13466,0.17754,0.13345,0.13829
Bahia Shehab,BahiaShehab_2012G,35,F,White,L2,770,353,2.179,7.57,210.41,210.53,0.03766,0.07792,0.07922,0.12338,0.16753,0.12857,0.1026
Barat Ali Batoor,BaratAliBatoor_2014X,31,M,Asian,L2,1396,641,2.179,7.33,173.92,158.42,0.08608,0.10545,0.09397,0.11191,0.2109,0.13989,0.11334
Barbara Block,BarbaraBlock_2010Z,,F,White,US,3253,1203,2.704,6.9,278.35,271.19,0.03198,0.05443,0.03506,0.04797,0.11347,0.0615,0.05904
Barry Schuler,BarrySchuler_2008P,55,M,White,US,3293,1278,2.577,6.44,169.08,155.34,0.03798,0.05652,0.04315,0.11486,0.08295,0.04892,0.04923
Barry Schwartz,BarrySchwartz_2014U,68,M,White,US,1159,486,2.383,6.84,167.63,158.42,0.01208,0.02071,0.01294,0.08887,0.0371,0.02847,0.02934
Barton Seaver,BartonSeaver_2010Z,31,M,White,US,1580,563,2.806,6.98,226.77,197.53,0.04684,0.06013,0.06139,0.08291,0.13544,0.09051,0.09051
Bassam Tariq,BassamTariq_2014U,28,M,Asian,US,766,282,2.715,8.48,153.69,141.59,0.02222,0.0366,0.03529,0.05098,0.10065,0.05359,0.04444
Beeban Kidron,BeebanKidron_2012S,51,F,White,Non-US,1771,789,2.244,8.44,181.1,170.21,0.03727,0.06155,0.05421,0.05195,0.12309,0.0734,0.05759
Bel Pesce,BelPesce_2014U,26,F,Latino,L2,964,375,2.569,6.07,213.02,213.33,0.04876,0.07158,0.05809,0.07884,0.12552,0.08714,0.09751
Ben Cameron,BenCameron_2010X,29,M,White,US,1994,761,2.619,8.75,170.03,173.91,0.0331,0.05868,0.04012,0.04413,0.09027,0.0652,0.0652
Ben Goldacre,BenGoldacre_2012P,38,M,White,Non-US,2303,809,2.846,6.93,189.42,173.91,0.02258,0.03865,0.03908,0.05645,0.09596,0.0469,0.05645
Benjamin Barber,BenjaminBarber_2013G,74,M,White,US,2322,1085,2.14,7.33,185.99,136.75,0.04017,0.05443,0.0514,0.09114,0.09028,0.07257,0.0514
Ben Katchor,BenKatchor_2002,51,M,White,US,1142,671,1.701,8.32,142.05,123.08,0.04904,0.0683,0.06918,0.07356,0.13748,0.0972,0.11909
Benoit Mandelbrot,BenoitMandelbrot_2010,86,M,White,L2,2479,1027,2.415,6.35,143.79,126.98,0.12752,0.17272,0.1481,0.18523,0.24334,0.20178,0.23325
Ben Saunders,BenSaunders_2014,37,M,White,Non-US,2643,1028,2.571,7.29,151.8,128,0.07646,0.10295,0.08478,0.09198,0.18168,0.10674,0.08743
